Date,Open,High,Low,Close,Adj Close,Volume
29-09-2016,828.26,837.5,824.63,829.05,829.05,4922200
30-09-2016,832.61,839.95,832.4,837.31,837.31,4430600
03-10-2016,836,839.86,831.25,836.74,836.74,2769400
04-10-2016,840.91,842.37,830.26,834.03,834.03,2950300
05-10-2016,838,845.67,836.12,844.36,844.36,3469100
06-10-2016,843.7,847.21,840.6,841.66,841.66,2684000
07-10-2016,845.79,845.95,837.45,839.43,839.43,2426200
10-10-2016,843.25,845.2,840.27,841.71,841.71,1827100
11-10-2016,841.02,841.29,828.35,831,831,3588200
12-10-2016,834,837.67,830.1,834.09,834.09,2380400
13-10-2016,829,831.8,821.21,829.28,829.28,3091400
14-10-2016,835.08,835.74,822.96,822.96,822.96,2999800
17-10-2016,821.5,822,811.68,812.95,812.95,3361500
18-10-2016,822.11,823.26,815.02,817.65,817.65,2512500
19-10-2016,820.4,820.67,815.17,817.69,817.69,2090700
20-10-2016,813.99,815.71,803.1,810.32,810.32,3152000
21-10-2016,809.36,819.42,809,818.99,818.99,2793000
24-10-2016,824.95,838.3,822.21,838.09,838.09,4060900
25-10-2016,839.3,843.09,833.22,835.18,835.18,3248400
26-10-2016,832.76,833.44,820,822.59,822.59,3998100
27-10-2016,831.24,831.72,815.43,818.36,818.36,7406400
28-10-2016,782,789.49,774.61,776.32,776.32,10841100
31-10-2016,781.03,793.7,780.11,789.82,789.82,5413300
01-11-2016,799,800.84,776.71,785.41,785.41,5305400
02-11-2016,783.93,784.75,763.55,765.56,765.56,5026500
03-11-2016,765.05,777,764,767.03,767.03,3872500
04-11-2016,762.79,766,753.23,755.05,755.05,5122100
07-11-2016,771.64,787.73,770.94,784.93,784.93,5984400
08-11-2016,784.97,791.74,779.1,787.75,787.75,3412600
09-11-2016,764,777.5,760.09,771.88,771.88,8562900
10-11-2016,778.81,778.83,717.7,742.38,742.38,12747000
11-11-2016,735.73,743.26,728.9,739.01,739.01,6622800
14-11-2016,745.51,746,710.1,719.07,719.07,7321300
15-11-2016,730,746.78,725.99,743.24,743.24,6755800
16-11-2016,739.88,749.87,735.61,746.49,746.49,3648800
17-11-2016,749.32,757.5,748,756.4,756.4,3690100
18-11-2016,761,767.74,757.64,760.16,760.16,4373400
21-11-2016,766,780.35,765.11,780,780,4614600
22-11-2016,788.17,792.4,781,785.33,785.33,5311300
23-11-2016,781.73,781.75,773.12,780.12,780.12,3540300
25-11-2016,786.5,786.75,777.9,780.37,780.37,1837100
28-11-2016,776.99,777,764.24,766.77,766.77,4438800
29-11-2016,768,769.89,761.32,762.52,762.52,3272300
30-11-2016,762,768.09,750.25,750.57,750.57,4625900
01-12-2016,752.41,753.37,738.03,743.65,743.65,4666000
02-12-2016,743.4,748.49,736.7,740.34,740.34,3561300
05-12-2016,745,761.49,742,759.36,759.36,4314700
06-12-2016,763.99,768.24,757.25,764.72,764.72,3794700
07-12-2016,764.55,770.42,755.82,770.42,770.42,3684900
08-12-2016,771.87,773.79,765.19,767.33,767.33,3189600
09-12-2016,770,770.25,765.34,768.66,768.66,2470900
12-12-2016,766.4,766.89,757.2,760.12,760.12,2963900
13-12-2016,764.96,782.46,762,774.34,774.34,5285300
14-12-2016,778.25,780.86,762.81,768.82,768.82,5454800
15-12-2016,766.28,769.1,760.31,761,761,3801900
16-12-2016,765,765.13,754,757.77,757.77,4848200
19-12-2016,758.89,770.5,756.16,766,766,3113200
20-12-2016,768.65,774.39,767.71,771.22,771.22,2703600
21-12-2016,770,771.22,765.7,770.6,770.6,2044600
22-12-2016,768.12,771.21,763.02,766.34,766.34,2543600
23-12-2016,764.55,766.5,757.99,760.59,760.59,1981600
27-12-2016,763.4,774.65,761.2,771.4,771.4,2638700
28-12-2016,776.25,780,770.5,772.13,772.13,3301000
29-12-2016,772.4,773.4,760.85,765.15,765.15,3158300
30-12-2016,766.47,767.4,748.28,749.87,749.87,4139400
03-01-2017,757.92,758.76,747.7,753.67,753.67,3521100
04-01-2017,758.39,759.68,754.2,757.18,757.18,2510500
05-01-2017,761.55,782.4,760.26,780.45,780.45,5830100
06-01-2017,782.36,799.44,778.48,795.99,795.99,5986200
09-01-2017,798,801.77,791.77,796.92,796.92,3446100
10-01-2017,796.6,798,789.54,795.9,795.9,2558400
11-01-2017,793.66,799.5,789.51,799.02,799.02,2992800
12-01-2017,800.31,814.13,799.5,813.64,813.64,4873900
13-01-2017,814.32,821.65,811.4,817.14,817.14,3791900
17-01-2017,815.7,816,803.44,809.72,809.72,3670500
18-01-2017,809.5,811.73,804.27,807.48,807.48,2354200
19-01-2017,810,813.51,807.32,809.04,809.04,2540800
20-01-2017,815.28,816.02,806.26,808.33,808.33,3376200
23-01-2017,806.8,818.5,805.08,817.88,817.88,2797500
24-01-2017,822,823.99,814.5,822.44,822.44,2971700
25-01-2017,825.79,837.42,825.29,836.52,836.52,3922600
26-01-2017,835.53,843.84,833,839.15,839.15,3586300
27-01-2017,839,839.7,829.44,835.77,835.77,2998700
30-01-2017,833,833.5,816.38,830.38,830.38,3747300
31-01-2017,823.75,826.99,819.56,823.48,823.48,3137200
01-02-2017,829.21,833.78,824.94,832.35,832.35,3850200
02-02-2017,836.59,842.49,828.26,839.95,839.95,7350500
03-02-2017,806.72,818.3,804,810.2,810.2,10868800
06-02-2017,809.8,810.72,803,807.64,807.64,3897300
07-02-2017,809.31,816.16,807.5,812.5,812.5,3466100
08-02-2017,812.69,821.48,812.5,819.71,819.71,2858000
09-02-2017,821.6,825,819.71,821.36,821.36,2484900
10-02-2017,823.82,828,822.85,827.46,827.46,2429600
13-02-2017,831.62,843,828.55,836.53,836.53,4172600
14-02-2017,837,838.31,831.45,836.39,836.39,2792400
15-02-2017,834,842.81,832.82,842.7,842.7,2968900
16-02-2017,841.84,845,839.38,844.14,844.14,2714700
17-02-2017,842,847.27,840.73,845.07,845.07,3112300
21-02-2017,848.84,857.98,847.25,856.44,856.44,3507700
22-02-2017,856.95,858.43,852.18,855.61,855.61,2617000
23-02-2017,857.57,860.86,848,852.19,852.19,3462000
24-02-2017,844.69,845.81,837.75,845.24,845.24,3688000
27-02-2017,842.38,852.5,839.67,848.64,848.64,2713600
28-02-2017,851.45,854.09,842.05,845.04,845.04,2793700
01-03-2017,853.05,854.83,849.01,853.08,853.08,2760100
02-03-2017,853.08,854.82,847.28,848.91,848.91,2132100
03-03-2017,847.2,851.99,846.27,849.88,849.88,1941100
06-03-2017,845.23,848.49,841.12,846.61,846.61,2610400
07-03-2017,845.48,848.46,843.75,846.02,846.02,2247600
08-03-2017,848,853.07,846.79,850.5,850.5,2286500
09-03-2017,851,856.4,850.31,853,853,2048200
10-03-2017,857,857.35,851.72,852.46,852.46,2436400
13-03-2017,851.77,855.69,851.71,854.59,854.59,1909700
14-03-2017,853.55,853.75,847.55,852.53,852.53,2130600
15-03-2017,854.33,854.45,847.11,852.97,852.97,2562200
16-03-2017,855.3,855.5,850.51,853.42,853.42,1842300
17-03-2017,853.49,853.83,850.64,852.31,852.31,3384400
20-03-2017,851.51,857.8,851.01,856.97,856.97,2282700
21-03-2017,858.84,862.8,841.31,843.2,843.2,4382900
22-03-2017,840.43,849.37,839.05,848.06,848.06,2658700
23-03-2017,848.2,850.89,844.8,847.38,847.38,1953000
24-03-2017,851.68,851.8,843.53,845.61,845.61,2138300
27-03-2017,838.07,850.3,833.5,846.82,846.82,2755800
28-03-2017,851.75,858.46,850.1,856,856,3041600
29-03-2017,859.05,876.44,859.02,874.32,874.32,4485800
30-03-2017,874.95,877.06,871.66,876.34,876.34,2762700
31-03-2017,877,890.35,876.65,886.54,886.54,3957600
03-04-2017,888,893.49,885.42,891.51,891.51,3422300
04-04-2017,891.5,908.54,890.28,906.83,906.83,4984700
05-04-2017,910.82,923.72,905.62,909.28,909.28,7508400
06-04-2017,913.8,917.19,894.49,898.28,898.28,6344100
07-04-2017,899.65,900.09,889.31,894.88,894.88,3710900
10-04-2017,899.63,908.51,899,907.04,907.04,3184300
11-04-2017,907.04,911.24,897.5,902.36,902.36,3012700
12-04-2017,903.09,904.09,895.25,896.23,896.23,2456100
13-04-2017,891.45,894.97,884.49,884.67,884.67,3174600
17-04-2017,887.5,902.38,887.5,901.99,901.99,2854700
18-04-2017,900.99,909.61,900.78,903.78,903.78,2999200
19-04-2017,907.84,910.5,897.37,899.2,899.2,2870200
20-04-2017,899.7,905.32,896.29,902.06,902.06,2814400
21-04-2017,902.67,903.65,896.77,898.53,898.53,2420500
24-04-2017,908.68,909.99,903.82,907.41,907.41,3122900
25-04-2017,907.04,909.48,903,907.62,907.62,3380600
26-04-2017,910.3,915.75,907.56,909.29,909.29,2608900
27-04-2017,914.39,921.86,912.11,918.38,918.38,5305500
28-04-2017,948.83,949.59,924.33,924.99,924.99,7364700
01-05-2017,927.8,954.4,927.8,948.23,948.23,5466500
02-05-2017,946.65,950.1,941.41,946.94,946.94,3848800
03-05-2017,946,946,935.9,941.03,941.03,3582700
04-05-2017,944.75,945,934.22,937.53,937.53,2418400
05-05-2017,940.52,940.79,930.3,934.15,934.15,2866400
08-05-2017,940.95,949.05,939.21,949.04,949.04,3415700
09-05-2017,952.8,957.89,950.2,952.82,952.82,3262100
10-05-2017,953.5,953.75,945,948.95,948.95,2096500
11-05-2017,945.11,950.29,940.78,947.62,947.62,2194100
12-05-2017,954.5,962.79,951.53,961.35,961.35,3625900
15-05-2017,958.73,963.15,956.06,957.97,957.97,4270600
16-05-2017,961,970.06,960.91,966.07,966.07,3126100
17-05-2017,954.7,960.4,944.12,944.76,944.76,5145600
18-05-2017,944.8,962.75,944.76,958.49,958.49,3939300
19-05-2017,962.84,968.92,959.72,959.84,959.84,3972100
22-05-2017,964,971.38,962.9,970.67,970.67,2642200
23-05-2017,975.02,975.2,966.85,971.54,971.54,2415600
24-05-2017,976,981,970.23,980.35,980.35,2446000
